回答ID,回答日時,回答1,回答2,回答3,回答4,回答8,回答9,回答10
60424,2024/12/1 15:06,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
61872,2024/12/3 20:54,法人で利用,10名未満,IT・通信,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
62618,2024/12/5 11:57,法人で利用,100名以上,製造業 ,いいえ,自社内で作成した,自社で運用している(担当部署有り),いいえ
61682,2024/12/3 15:26,個人で利用,1名,個人,はい,自分で作成した,自分で運用している,はい
62705,2024/12/5 14:21,法人で利用,10名未満,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自分で運用している,はい
62867,2024/12/5 19:02,個人で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,お名前.comさんで管理運営,いいえ
59574,2024/11/29 14:52,法人で利用,10名未満,建設・不動産,いいえ,クライアントのサイト作成を代行した,自社で運用している(担当部署無し),いいえ
63493,2024/12/7 9:48,個人事業主で利用,1名,個人,いいえ,まだ作成していない,自分で運用している,いいえ
63584,2024/12/7 15:02,法人で利用,10名未満,小売・飲食・サービス業,いいえ,Webサイトは作成していない,Webサイトは作成していない,いいえ
60674,2024/12/2 7:51,個人で利用,1名,個人,はい,自分で作成した,自分で運用している,いいえ
60937,2024/12/2 15:42,法人で利用,50名以上100名未満,製造業 ,いいえ,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
62631,2024/12/5 12:23,法人で利用,10名未満,IT・通信,いいえ,自分で作成した,自分で運用している,いいえ
61987,2024/12/4 8:24,法人で利用,100名以上,小売・飲食・サービス業,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
62107,2024/12/4 11:53,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
59304,2024/11/29 7:45,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
62497,2024/12/5 5:33,法人で利用,10名未満,自営業・フリーランス・その他,いいえ,Webサイトなし,Webサイトなし,いいえ
62501,2024/12/5 5:35,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,webサイトなし,webサイトなし,いいえ
61334,2024/12/3 8:56,法人で利用,10名未満,IT・通信,はい,自分で作成した,自分で運用している,はい
63870,2024/12/8 11:09,個人事業主で利用,10名未満,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,いいえ
61005,2024/12/2 17:17,法人で利用,10名以上50名未満,建設・不動産,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
59306,2024/11/29 7:50,個人で利用,10名未満,個人,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
63543,2024/12/7 12:16,個人で利用,10名未満,個人,いいえ,自分で作成した,自分で運用している,いいえ
59449,2024/11/29 13:35,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
59755,2024/11/29 22:11,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,いいえ
59630,2024/11/29 16:20,個人事業主で利用,10名未満,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,いいえ
58923,2024/11/28 13:46,個人で利用,10名未満,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,いいえ
59252,2024/11/29 0:32,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,いいえ
59307,2024/11/29 7:51,個人で利用,1名,個人,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
59576,2024/11/29 14:52,法人で利用,10名未満,建設・不動産,いいえ,クライアントのサイト作成を代行した,自社で運用している(担当部署無し),いいえ
59297,2024/11/29 7:27,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
59768,2024/11/29 22:47,法人で利用,10名未満,建設・不動産,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
59372,2024/11/29 11:30,法人で利用,100名以上,金融・保険,いいえ,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
61753,2024/12/3 16:19,法人で利用,10名以上50名未満,,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
60936,2024/12/2 15:41,法人で利用,50名以上100名未満,製造業 ,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
61395,2024/12/3 9:56,個人で利用,10名未満,IT・通信,はい,自社内で作成した,自分で運用している,はい
61399,2024/12/3 10:01,法人で利用,10名未満,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,はい
61625,2024/12/3 14:30,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
