アンケートID：6e2fe6b3-7dc0-4108-98b8-d54e2b87554e
アンケートタイトル：【Navi内のみ】ネットde診断解約アンケート
アンケート期間：2025/02/13 16:12 ～ 2028/12/13 16:13
回答ID,セッションID,回答日時,IP,Agent,回答1,回答2,回答3,回答4,回答5,回答6,回答7,回答8,回答9,回答10,ドメイン名,プロキシID
99903,59cb0ac3-aa6e-c82a-efb6-436547d03e15,2025/02/27 15:14,10.32.130.62,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/133.0.0.0 safari/537.36 edg/133.0.0.0",test,test,test,test,test,いいえ,test,test,いいえ,11996282
101701,d21f141e-0948-c879-2015-ba439958a1cc,2025/03/03 10:03,10.32.129.206,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/133.0.0.0 safari/537.36 edg/133.0.0.0",元々、無料期間のみの利用目的だったため,どちらかというと満足,ホームページの更新頻度が低く、毎月は必要ではないため,価格が安いこと,特に無し,はい,,無料,いいえ,690813
100938,d2cd9319-ed2d-5431-f374-016a4585eff5,2025/03/01 12:20,10.32.129.206,"mozilla/5.0 (iphone; cpu iphone os 18_1_1 like mac os x) applewebkit/605.1.15 (khtml, like gecko) version/18.1 mobile/15e148 safari/604.1 ddg/18.1",元々、無料期間のみの利用目的だったため,どちらかというと満足ではない,無料期間は1カ月と理解していたが1週間で請求された。どこに書いてあったか教えてほしい。無料期間でお試ししてから利用継続を判断する場合はきちんとわかりやすく案内してほしい。,特に無し,無料期間案内不適切,はい,わかりやすい料金設定や案内をとにかくしてほしい。安心して利用したい。,0~100円,はい,12012503
101726,961b5652-943f-03bf-c160-e7390b3e3610,2025/03/03 10:37,10.32.129.137,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/133.0.0.0 safari/537.36",元々、無料期間のみの利用目的だったため,どちらかというと満足ではない,社長の指示により解約,特に無し,特に無し,はい,料金,無料,いいえ,12013618
102375,81e75feb-d042-4956-1c3a-284017747d0b,2025/03/04 13:00,10.32.130.33,mozilla/5.0 (windows nt 10.0; win64; x64; rv:135.0) gecko/20100101 firefox/135.0,元々、無料期間のみの利用目的だったため,満足ではない,,特に無し,対策内容がわかりやすいこと,はい,,無料,いいえ,7259604
100493,09b87041-0a89-5cfe-2e1d-67487b283bc9,2025/02/28 16:32,10.32.129.137,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/133.0.0.0 safari/537.36",診断内容に満足出来なかったため,満足ではない,診断結果が難し過ぎる,特に無し,特に無し,はい,,100~200円,いいえ,10259821
100460,6721ec1b-6407-5505-d05e-0aeb75df46a2,2025/02/28 15:57,10.32.129.206,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/133.0.0.0 safari/537.36",プロバイダに事前申請が必要だった気がするので、一旦解約,どちらかというと満足,,定期的な診断が出来ること,診断項目が豊富であること,はい,,無料,いいえ,11635950
106125,fb40a7a1-23af-f16f-d64a-d67752fc02cf,2025/03/13 01:36,10.32.129.250,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/134.0.0.0 safari/537.36 edg/134.0.0.0",元々、無料期間のみの利用目的だったため,満足ではない,"診断結果で対応する内容が不明確
特に、RSサーバでの対応について知りたいのに、世間一般的な内容しか表示されない
またマニュアルみたいなものもRSサーバとは関係の無い別のサービス用なので何の役にも立たない
対処について、どの様にすれば良いか、パッチの当て方、再起動する必要がある場合の再起動の方法等が知りたい内容についての情報がそもそも無いのも問題である
FTPサーバを中止しろと言われても、中止する手段がない等
レンタルサーバなので制限はあるとしたら、攻撃や乗っ取りについては対応して戴きたい
",特に無し,対応策が使えない,はい,対処についてパッチ当てや再起動、設定の変更についての情報や自動化をしてくれるのであれば是非とも使いたい,本来は無料であるべきだが最低限として200円程度ならなんとか,いいえ,9859981
115376,a3d27176-9a10-f19a-739a-893c81480a86,2025/04/01 12:18,10.32.129.175,"mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/134.0.0.0 safari/537.36",元々、無料期間のみの利用目的だったため,満足ではない,そもそもレンタルサーバで提供しているプラットフォームなので、プラットフォーム部分に安心感を得られるようなものではなかった。,特に無し,正直この程度の診断であれば、有料の価値を見いだせない,いいえ,,無料,いいえ,11642050
123553,e0efd219-2248-7a7d-cae4-7193c42550e6,2025/04/20 11:52,10.32.129.243,"mozilla/5.0 (iphone; cpu iphone os 18_3_2 like mac os x) applewebkit/605.1.15 (khtml, like gecko) gsa/364.0.744893471 mobile/15e148 safari/604.1",情報が多過ぎて使いにくい,満足ではない,サイトが情報だらけでわかりにくいのと、なぜか、二口目のサーバー契約が勝手になされていて、引き落とし金額高額になり、気づいた、コワいと思ったから、サーバーもドメインも解約することにした。しかし、6月末までは支払わねばならないのが、これまた、こわい。,特に無し,特に無し,いいえ,,100~200円,はい,11997384
126450,fe9421c0-58c0-8d06-6926-af384e40a809,2025/04/26 09:35,10.32.129.197,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/135.0.0.0 safari/537.36 edg/135.0.0.0",元々、無料期間のみの利用目的だったため,どちらかというと満足ではない,,特に無し,特に無し,いいえ,,無料,いいえ,26538
128505,c30ba480-3a3f-a324-535b-3a3e55c91b3c,2025/05/01 09:46,10.32.129.148,"mozilla/5.0 (x11; linux x86_64) applewebkit/537.36 (khtml, like gecko) chrome/135.0.0.0 safari/537.36",誤って申込してしまったため,どちらかというと満足,,特に無し,特に無し,いいえ,,無料,いいえ,11807767
128710,2e4b3cf3-80c8-178e-4d54-962757eddd90,2025/05/01 12:53,10.32.129.148,"mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/135.0.0.0 safari/537.36",誤って申込してしまったため,どちらかというと満足,,特に無し,特に無し,いいえ,,金額を問わず不要,いいえ,5594062
131110,0aed9a00-1209-01ad-393a-8cade92ff25d,2025/05/07 12:46,10.32.129.254,"mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/135.0.0.0 safari/537.36",利用料金が高いと感じたため,どちらかというと満足ではない,診断結果を見ても何をすればいいのかよくわからない,特に無し,対策内容がわかりやすいこと,いいえ,,無料,いいえ,5351003
128773,c9e4de2c-e57f-7c32-1208-743242b29ca1,2025/05/01 14:18,10.32.129.254,"mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/135.0.0.0 safari/537.36",診断内容に満足出来なかったため,満足ではない,診断されても、修正できないことばかり。意味がない。,満足していない,診断されても修正できない,いいえ,,無料,いいえ,9168932
139057,1bc307cc-3093-2253-ab38-418579de2bc5,2025/05/23 16:39,10.32.129.183,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/136.0.0.0 safari/537.36 edg/136.0.0.0",利用料金が高いと感じたため,満足ではない,初回は無料だったが、その後何のアナウンスもなしに２、３ヵ月引き落とされた。全く役に立たないサービスであったので、非常にもったいなかった。,特に無し,料金が高すぎる。,いいえ,メリットが全く分からなかった。せめて有料への移行前にきちんとアナウンスをして頂きたい。また、診断結果にもっとアクセスしやすい方法にしてほしい。分かりにくいので一度も何も確認していない。,無料,いいえ,11992962
142585,f565afa6-748b-e99f-8ed6-09dd508fdc18,2025/06/01 17:44,10.32.130.54,"mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/605.1.15 (khtml, like gecko) version/17.5 safari/605.1.15",元々、無料期間のみの利用目的だったため,満足ではない,勝手に契約されていた。,特に無し,無料版のみのつもりが勝手に契約されていた,いいえ,わかりにくい,無料,いいえ,10393274
142529,02b1d53d-2dd5-9bba-3e3c-274e5ef1e066,2025/06/01 15:20,10.32.130.54,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/137.0.0.0 safari/537.36",元々、無料期間のみの利用目的だったため,満足ではない,サーバーを運用していないしドメインも自動更新をしない(解約)ため不必要な費用が発生している。,特に無し,特に無し,いいえ,,金額を問わず不要,いいえ,11996142
142991,0f73612b-38d6-3879-86a9-3615f29aac24,2025/06/02 14:24,10.32.130.54,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/136.0.0.0 safari/537.36 edg/136.0.0.0",誤って申込してしまったため,満足ではない,知らないうちに、契約となってしまっていた。,特に無し,特に無し,いいえ,良く分らない。,無料,いいえ,12141910
142652,00038865-0786-6db2-76ea-f14831611327,2025/06/01 21:42,10.32.130.54,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/136.0.0.0 safari/537.36",通知されたパスワードのありかがわからない。調べてもわからない。結局診断結果が見られないため。,満足ではない,通知されたパスワードのありかがわからない。調べてもわからない。結局診断結果が見られないため。,特に無し,通知されたパスワードのありかがわからない。調べてもわからない。結局診断結果が見られないため。,はい,通知されたパスワードのありかがわからない。調べてもわからない。結局診断結果が見られないため。,今の料金でよい,いいえ,12091418
